"","acute.sc","dur.ac","job","het.sd"
"894146",5,0.5,"2993",1
"894873",7,0.5,"2994",1
"895806",10,0.5,"2995",1
"896658",15,0.5,"2996",1
"897427",20,0.5,"2997",1
"898345",25,0.5,"2998",1
"899334",30,0.5,"2999",1
"900144",35,0.5,"3000",1
"900954",40,0.5,"3001",1
"901846",45,0.5,"3002",1
"902859",50,0.5,"3003",1
"905330",5,1,"3006",1
"906257",7,1,"3007",1
"907172",10,1,"3008",1
"908059",15,1,"3009",1
"908816",20,1,"3010",1
"909703",25,1,"3011",1
"910522",30,1,"3012",1
"911476",35,1,"3013",1
"915632",2,1.5,"3018",1
"916646",5,1.5,"3019",1
"917417",7,1.5,"3020",1
"918389",10,1.5,"3021",1
"919296",15,1.5,"3022",1
"920134",20,1.5,"3023",1
"920942",25,1.5,"3024",1
"927029",2,2,"3031",1
"927834",5,2,"3032",1
"928522",7,2,"3033",1
"929646",10,2,"3034",1
"930525",15,2,"3035",1
"931201",20,2,"3036",1
"939107",5,2.5,"3045",1
"940003",7,2.5,"3046",1
"940849",10,2.5,"3047",1
"941729",15,2.5,"3048",1
"942617",20,2.5,"3049",1
"949505",2,3,"3057",1
"950217",5,3,"3058",1
"950987",7,3,"3059",1
"952004",10,3,"3060",1
"952894",15,3,"3061",1
"960758",2,3.5,"3070",1
"961535",5,3.5,"3071",1
"962412",7,3.5,"3072",1
"963289",10,3.5,"3073",1
"971937",2,4,"3083",1
"972760",5,4,"3084",1
"973573",7,4,"3085",1
"974430",10,4,"3086",1
"983102",2,4.5,"3096",1
"983922",5,4.5,"3097",1
"984851",7,4.5,"3098",1
"994293",2,5,"3109",1
"995144",5,5,"3110",1
"996073",7,5,"3111",1
