stage,log HIV RNA (cp/ml)
1.42062,5.19438
1.41991,4.30417
1.40727,3.72033
1.41875,3.17877
1.41236,2.89918
0.693755,2.89126
0.705482,2.63688
0.674268,2.01593
0.691421,1.56493
0.702754,1.2868
2.13918,3.02464
2.13552,3.3334
2.13595,3.73046
2.1487,4.45041
2.14129,5.26888
2.86241,2.09043
2.86338,2.6997
2.8604,3.54956
2.87278,3.85223
2.86535,4.52583
3.58543,3.93762
3.59273,3.23368
3.58395,2.66927
3.59138,2.26619
3.59065,1.87062
4.2991,1.83074
4.30382,2.19529
4.29628,2.51402
4.30463,2.71449
4.29727,3.25507
2.15451,7.125
2.14605,6.39936
2.14313,2.97095
2.15095,2.79403
1.43363,6.63991
1.4333,6.08689
1.42497,5.65181
1.42882,5.39747
1.42639,2.84767
1.43429,2.74045
0.70994,2.95473
0.698583,1.23837
0.706595,1.22575
1.4246,1.7787
1.43714,2.011
2.86446,1.24377
2.86618,1.95592
2.88245,2.0428
2.8703,5.7706
2.86156,4.8247
2.86549,4.70284
2.87349,4.64302
3.59073,5.50486
3.59436,4.9568
3.59023,4.83165
3.59816,4.67358
3.59397,4.47475
3.59791,4.38409
3.59381,4.29533
3.59369,4.16549
3.59755,3.98823
3.59454,1.80481
3.59446,1.76826
3.59437,1.72802
3.59834,1.70169
3.59008,1.6086
3.58575,1.48599
3.58911,1.24876
4.3139,3.74665
4.32192,3.70847
4.31371,3.55981
4.30945,3.34789
4.30535,3.2801
4.30711,1.80745
4.30291,1.73056
4.30643,1.51116
